brand,model,year,mileage,transmission,location,fuel_type,price
BMW,320i 2.0 Luxury Sedan,2018,15012,Automatic,DKI Jakarta,Bensin,325000000
Honda,BR-V 1.5 Prestige SUV,2022,32530,Automatic,Banten,Bensin,205000000
Hyundai,"Stargazer 1.5 Prime MPV - AT, ISTIMEWA, SIAP PAKAI, LOW KM, CIAMIK POL, PAJAK PANJANG",2022,15012,Automatic,Jawa Timur,Bensin,215000000
Toyota,Kijang Innova 2.4 Venturer MPV,2022,32530,Automatic,Banten,Bensin,449000000
Suzuki,Ertiga 1.5 Hybrid SS MPV - CASH CREDIT - LOW KM - BERGARANSI - BEBAS LAKA BANJIR,2022,25022,Automatic,Banten,Hybrid,209000000
Mercedes-Benz,C300 2.0 AMG Line Sedan,2025,2500,Automatic,DKI Jakarta,Bensin,1280000000
Mercedes-Benz,C300 2.0 AMG Line Sedan,2023,5002,Automatic,DKI Jakarta,Bensin,875000000
Suzuki,Baleno 1.4 Hatchback - AT SILVER,2021,37535,Automatic,DKI Jakarta,Bensin,189000000
Suzuki,Jimny 1.5 5 Door (1 Tone) SUV,2025,2500,Manual,Banten,Bensin,428800000
Honda,CR-V 1.5 Turbo Prestige SUV,2021,42540,Automatic,Banten,Bensin,394000000
Toyota,Voxy 2.0 (Premium Color) MPV,2024,20017,Automatic,DKI Jakarta,Bensin,443000000
Honda,HR-V 1.8 Prestige SUV,2015,35032,Automatic,DKI Jakarta,Bensin,197000000
Toyota,Yaris Cross 1.5 S HV with GR Parts Aero Pkg SUV,2023,25022,Automatic,Jawa Barat,Hybrid,341000000
Suzuki,Ertiga 1.5 Hybrid GX MPV,2023,42540,Automatic,DKI Jakarta,Hybrid,210000000
BMW,M4 3.0 Coupe - F82 Austin Yellow on Black Merino Leather,2014,2500,Automatic,Banten,Bensin,1385000000
KIA,Sonet 1.5 Premiere SUV,2023,10007,Automatic,DKI Jakarta,Bensin,234000000
Suzuki,Baleno 1.5 Hatchback,2023,30027,Automatic,Banten,Bensin,214000000
Honda,Jazz 1.5 RS Hatchback,2019,32530,Automatic,DKI Jakarta,Bensin,218000000
KIA,Sonet 1.5 Premiere SUV - KM LOW - LIKE NEW - BERGARANSI,2023,10007,Automatic,Jawa Barat,Bensin,234000000
Toyota,Alphard 2.4 SC MPV,2015,27525,Automatic,DKI Jakarta,Bensin,459000000
Mitsubishi,Pajero Sport 2.4 Dakar 4x2 SUV,2023,17515,Automatic,DKI Jakarta,Diesel,479000000
Toyota,Rush 1.5 GR Sport SUV,2023,25022,Automatic,Banten,Bensin,215000000
Mitsubishi,Xpander 1.5 Ultimate MPV,2018,42540,Automatic,DKI Jakarta,Bensin,193000000
Honda,BR-V 1.5 Prestige Honda Sensing SUV - Prestige Sensing,2023,32530,Automatic,DKI Jakarta,Bensin,448000000
Toyota,Voxy 2.0 MPV,2018,27525,Automatic,DKI Jakarta,Bensin,240000000
KIA,Seltos 1.4 EX+ SUV - EX,2021,30027,Automatic,DKI Jakarta,Bensin,258000000
Honda,Brio 1.2 Satya E Hatchback,2019,27525,Automatic,Jawa Barat,Bensin,146000000
Suzuki,Baleno 1.5 Hatchback,2023,27525,Automatic,DKI Jakarta,Bensin,214000000
Mazda,8 2.3 MPV,2012,25022,Automatic,Jawa Tengah,Bensin,150000000
Suzuki,XL7 1.5 Zeta SUV - MANUAL HITAM KM SEPERTI BARU,2024,7505,Manual,Jawa Barat,Bensin,207000000
Honda,WR-V 1.5 RS SUV - WRV TWO TONE AT,2023,27525,Automatic,DKI Jakarta,Bensin,205000000
Hyundai,Creta 1.5 Trend SUV - LOW KM,2022,20017,Automatic,Jawa Barat,Bensin,222000000
Toyota,Avanza 1.3 G MPV,2018,72570,Manual,DKI Jakarta,Bensin,140000000
Mercedes-Benz,GLC300 2.0 AMG Line 4MATIC Coupe - Polar White on Black Artico Leather Seat,2024,7505,Automatic,Banten,Bensin,1438000000
Mitsubishi,Xpander 1.5 Ultimate MPV,2022,35032,Automatic,Banten,Bensin,243000000
Daihatsu,Rocky 1.2 X SUV,2022,40037,Automatic,DKI Jakarta,Bensin,180000000
Suzuki,Jimny 1.5 5 Door (1 Tone) SUV,2025,2500,Automatic,Jawa Barat,Bensin,443500000
Suzuki,Ertiga 1.5 GL MPV,2026,2500,Automatic,Jawa Barat,Bensin,222200000
Honda,Brio 1.2 Satya E Hatchback,2024,17515,Automatic,DKI Jakarta,Bensin,170000000
Suzuki,Fronx 1.5 GX Hybrid SUV,2025,2500,Automatic,Jawa Barat,Hybrid,265200000
Honda,BR-V 1.5 Prestige Honda Sensing SUV - Prestige Sensing,2022,25022,Automatic,DKI Jakarta,Bensin,235000000
Honda,Brio 1.2 RS Hatchback,2017,20017,Automatic,DKI Jakarta,Bensin,141000000
Toyota,Agya 1.2 G Hatchback,2023,22520,Automatic,Banten,Bensin,155000000
Mercedes-Benz,GLC200 2.0 AMG SUV,2017,17515,Automatic,Jawa Barat,Bensin,388000000
Mitsubishi,Xpander 1.5 Ultimate MPV - AT PUTIH km ISTIMEWA,2022,15012,Automatic,DKI Jakarta,Bensin,250000000
Honda,HR-V 1.5 Special Edition SUV,2025,7505,Automatic,DKI Jakarta,Bensin,350000000
Toyota,Kijang Innova 2.4 V MPV - DIESEL,2019,35032,Automatic,DKI Jakarta,Bensin,370000000
Toyota,Voxy 2.0 (Premium Color) MPV,2022,35032,Automatic,DKI Jakarta,Bensin,370000000
Toyota,Fortuner 2.4 VRZ TRD 4X2 SUV,2021,30027,Automatic,DKI Jakarta,Diesel,460000000
Toyota,Fortuner 2.4 VRZ 4X2 SUV,2021,32530,Automatic,DKI Jakarta,Bensin,450000000
Hyundai,Creta 1.5 Prime SUV,2023,37535,Automatic,DKI Jakarta,Bensin,266000000
Toyota,Raize 1.0 GR Sport TSS (2 Tone) SUV - Promo DP Ringan atau Angsuran Ringan,2021,27525,Automatic,DKI Jakarta,Bensin,195000000
Nissan,Livina 1.5 VL MPV - MURAH,2019,50047,Automatic,Jawa Barat,Bensin,175000000
Honda,HR-V 1.5 E Special Edition SUV,2021,50047,Automatic,DKI Jakarta,Bensin,238000000
Honda,HR-V 1.5 Special Edition SUV,2025,7505,Automatic,DKI Jakarta,Bensin,351000000
Mercedes-Benz,AMG C43 3.0 Coupe - Hyacinth Red on Alacantara Black Leather,2017,7505,Automatic,DKI Jakarta,Bensin,899000000
Suzuki,XL7 1.5 Zeta SUV,2024,7505,Manual,Banten,Bensin,209000000
Daihatsu,Rocky 1.2 M SUV,2021,20017,Automatic,DKI Jakarta,Bensin,165000000
Hyundai,Tucson 2.0 XG SUV,2018,80077,Automatic,Jawa Barat,Bensin,182000000
Toyota,Raize 1.2 G (1 Tone) SUV,2023,30027,Automatic,Jawa Barat,Bensin,191000000
Wuling,Air EV Long Range Hatchback - 0.0,2022,17515,Automatic,DKI Jakarta,Elektrik,119000000
Nissan,Livina 1.5 VL MPV - AT PUTIH KM ISTIMEWA,2022,15012,Automatic,DKI Jakarta,Bensin,204000000
Toyota,Raize 1.0 GR Sport TSS (1 Tone) SUV - Promo DP Ringan atau Angsuran Ringan,2022,20017,Automatic,DKI Jakarta,Bensin,212000000
Mazda,CX-30 2.0 GT SUV,2023,15012,Automatic,DKI Jakarta,Bensin,380000000
Hyundai,Creta 1.5 Prime SUV - Promo DP Ringan atau Angsuran Ringan,2023,25022,Automatic,DKI Jakarta,Bensin,274000000
Nissan,March 1.2 Hatchback - AT HITAM,2017,50047,Automatic,Jawa Barat,Bensin,106000000
Honda,Mobilio 1.5 E MPV - CVT (GANJIL),2015,117615,Automatic,DKI Jakarta,Bensin,125000000
Toyota,Calya 1.2 G MPV,2024,12510,Automatic,Jawa Barat,Bensin,154000000
Suzuki,Ertiga 1.5 GX MPV,2018,27525,Automatic,Jawa Barat,Bensin,168000000
Suzuki,XL7 1.5 Zeta SUV,2024,7505,Manual,DKI Jakarta,Bensin,206000000
Honda,City 1.5 RS Honda Sensing Hatchback - RS Sensing,2022,42540,Automatic,Banten,Bensin,232000000
Daihatsu,Sigra 1.2 R Deluxe MPV,2018,25022,Automatic,Jawa Barat,Bensin,118000000
KIA,Seltos 1.4 EX+ SUV - EX,2021,30027,Automatic,DKI Jakarta,Bensin,255000000
Honda,Mobilio 1.5 E MPV - CVT (GENAP),2015,95092,Automatic,DKI Jakarta,Bensin,125000000
Toyota,Veloz 1.5 Q (Non Premium Color) MPV,2023,22520,Automatic,Banten,Bensin,236000000
Mercedes-Benz,GL400 3.0 4MATIC SUV,2015,12510,Automatic,Banten,Bensin,480000000
BMW,M4 3.0 Competition Coupe,2023,10007,Automatic,DKI Jakarta,Bensin,2000000000
Toyota,Yaris 1.5 GR Sport 3 AB Hatchback,2021,30027,Automatic,Banten,Bensin,219000000
Hyundai,Creta 1.5 Prime SUV,2023,25022,Automatic,DKI Jakarta,Bensin,274000000
Honda,Mobilio 1.5 RS MPV - Cash 133 JT NEGO,2015,57555,Automatic,DKI Jakarta,Bensin,128000000
Mazda,2 1.5 R Hatchback - Cash 110 JT NEGO,2013,72570,Automatic,DKI Jakarta,Bensin,100000000
Datsun,GO+ 1.2 T-Style MPV - GO - Cash 73 JT NEGO,2016,50047,Manual,DKI Jakarta,Bensin,68000000
Nissan,Grand Livina 1.5 XV MPV - Cash 122 JT NEGO,2017,47545,Automatic,DKI Jakarta,Bensin,117000000
Nissan,Serena 2.0 Highway Star MPV - Cash 137 JT NEGO,2014,62560,Automatic,DKI Jakarta,Bensin,130000000
Nissan,Grand Livina 1.5 SV MPV - Cash 105 JT NEGO,2015,77575,Automatic,DKI Jakarta,Bensin,100000000
Toyota,Calya 1.2 G MPV - Cash 110 JT NEGO,2019,35032,Automatic,DKI Jakarta,Bensin,106000000
Honda,Freed 1.5 S MPV - Cash 118 JT NEGO,2012,72570,Automatic,DKI Jakarta,Bensin,110000000
Honda,City 1.5 E Sedan - Cash 152 JT NEGO,2016,72570,Automatic,DKI Jakarta,Bensin,142000000
Wuling,Confero 1.5 S L ACT Lux+ MPV - S L ACT Lux - Cash 110 JT NEGO - DP 3 JT,2020,60057,Automatic,DKI Jakarta,Bensin,100000000
Honda,Mobilio 1.5 E MPV - Cash 145 JT NEGO,2018,32530,Automatic,DKI Jakarta,Bensin,135000000
Daihatsu,Xenia 1.3 R Standard MPV - Cash 107 JT NEGO,2014,65062,Manual,DKI Jakarta,Bensin,100000000
Nissan,Livina 1.5 VL MPV - Cash 179 JT NEGO,2019,45042,Automatic,DKI Jakarta,Bensin,170000000
Toyota,Raize 1.0 GR Sport TSS (2 Tone) SUV - Cash 210 JT NEGO,2021,22520,Automatic,DKI Jakarta,Bensin,190000000
Toyota,Kijang Innova 2.0 G MPV - Cash 268 JT NEGO,2021,35032,Automatic,DKI Jakarta,Bensin,263000000
Mazda,2 1.5 RZ Hatchback - Cash 110 JT NEGO,2012,60057,Automatic,DKI Jakarta,Bensin,100000000
Toyota,Avanza 1.3 G MPV - Cash 122 JT NEGO,2014,52550,Automatic,DKI Jakarta,Bensin,115000000
Daihatsu,Xenia 1.3 X MPV - Cash 122 JT NEGO - DP 5 JT AJAA,2016,57555,Automatic,DKI Jakarta,Bensin,115000000
Wuling,Cortez 1.8 L Lux+ MPV - L Lux - Cash 125 JT NEGO,2018,40037,Automatic,DKI Jakarta,Bensin,115000000
Mitsubishi,Xpander 1.5 Ultimate MPV - AT HITAM ISTIMEWA,2022,25022,Automatic,Jawa Barat,Bensin,240000000
KIA,"Seltos 1.4 EX+ SUV - EX CASH CREDIT - BEBAS LAKA BANJIR - GARANSI MESIN,AC TRANSMISI",2021,30027,Automatic,Banten,Bensin,258000000
Toyota,Calya 1.2 G MPV,2023,5002,Automatic,DKI Jakarta,Bensin,148000000
Honda,WR-V 1.5 RS Honda Sensing SUV - RS Sensing,2023,15012,Automatic,Banten,Bensin,245000000
Honda,HR-V 1.5 Special Edition SUV,2022,30027,Automatic,DKI Jakarta,Bensin,305000000
Toyota,Agya 1.2 G Hatchback - JMINAN MUTU,2023,20017,Automatic,Jawa Barat,Bensin,155000000
Toyota,Raize 1.0 GR Sport (2 Tone) SUV - Biru metalik Bergaransi Promo DP minim,2021,25022,Automatic,DKI Jakarta,Bensin,195000000
Hyundai,Stargazer 1.5 Prime MPV,2022,27525,Automatic,DKI Jakarta,Bensin,201000000
Mitsubishi,Xpander 1.5 Ultimate MPV,2023,42540,Automatic,DKI Jakarta,Bensin,253000000
Hyundai,Stargazer X 1.5 Prime MPV,2024,30027,Automatic,DKI Jakarta,Bensin,245000000
Honda,Mobilio 1.5 E MPV - JAMINAN MUTU,2016,37535,Manual,Jawa Barat,Bensin,133000000
Honda,Brio 1.2 Satya E Hatchback - Putih Bergaransi Promo DP Minim,2019,27525,Automatic,Jawa Barat,Bensin,146000000
Toyota,Avanza 1.5 G MPV,2022,40037,Automatic,DKI Jakarta,Bensin,204000000
Toyota,Yaris Cross 1.5 S HV (Premium colour) SUV,2023,22520,Automatic,Jawa Barat,Hybrid,341000000
Nissan,Livina 1.5 VL MPV - bergaransi,2019,47545,Automatic,Banten,Bensin,175000000
Daihatsu,Ayla 1.0 X Hatchback - BERGARANSI,2021,10007,Manual,DKI Jakarta,Bensin,107000000
Nissan,March 1.2 Hatchback - hitam Promo DP minim,2017,50047,Automatic,Jawa Barat,Bensin,107000000
Daihatsu,Rocky 1.2 X SUV - BERGARANSI,2022,40037,Automatic,DKI Jakarta,Bensin,180000000
Mitsubishi,Xpander 1.5 Ultimate MPV,2022,15012,Automatic,Banten,Bensin,251000000
Suzuki,Ertiga 1.5 Hybrid GX MPV - BERGARANSI,2023,42540,Automatic,Jawa Barat,Hybrid,210000000
Toyota,Fortuner 2.4 VRZ TRD 4X2 SUV,2021,30027,Automatic,DKI Jakarta,Diesel,463000000
Daihatsu,Rocky 1.0 R TC ADS SUV,2021,20017,Automatic,Jawa Barat,Bensin,185000000
Toyota,Yaris 1.5 TRD Sportivo Hatchback,2020,30027,Automatic,Jawa Barat,Bensin,206000000
Daihatsu,Xenia 1.3 X MPV,2022,45042,Automatic,Jawa Barat,Bensin,192000000
Honda,BR-V 1.5 E Prestige SUV - JAMINAN MUTU,2016,47545,Automatic,Jawa Barat,Bensin,160000000
Suzuki,S-Presso 1.0 Hatchback - abu abu Bergaransi Promo DP minim,2022,25022,Automatic,Jawa Barat,Bensin,128000000
Mitsubishi,Xpander 1.5 Ultimate MPV - Hitam Promo DP Minim,2020,32530,Automatic,Jawa Barat,Bensin,212000000
Daihatsu,Sigra 1.2 R Deluxe MPV,2023,12510,Automatic,DKI Jakarta,Bensin,145000000
Mitsubishi,Xpander 1.5 GLS MPV - Dp 17 Juta,2021,45042,Automatic,DKI Jakarta,Bensin,177500000
Toyota,Avanza 1.3 E MPV - Dp 8 Juta,2018,42540,Automatic,DKI Jakarta,Bensin,130000000
Hyundai,Creta 1.5 Prime SUV - Dp 15 Juta,2023,30027,Automatic,DKI Jakarta,Bensin,270000000
Toyota,Kijang Innova 2.0 G MPV - Dp 7 Juta,2021,47545,Automatic,DKI Jakarta,Bensin,255000000
Honda,Mobilio 1.5 E MPV - Dp 16 Juta,2021,47545,Automatic,DKI Jakarta,Bensin,160000000
Suzuki,Ertiga 1.5 Sport MPV - Dp 19 Juta,2020,62560,Automatic,DKI Jakarta,Bensin,180500000
Honda,"HR-V 1.5 E SUV - , Hrv CVT, HRV Sunroof, Irit bbm",2017,42540,Automatic,DKI Jakarta,Bensin,175000000
Mitsubishi,Xpander Cross 1.5 MPV - Premium,2021,30027,Automatic,DKI Jakarta,Bensin,232000000
Toyota,Corolla Cross 1.8 Hybrid SUV,2022,15012,Automatic,Banten,Hybrid,326000000
Toyota,Voxy 2.0 MPV - ..GARANSI 1TH AC MESIN TRANSMSII..JAMINAN BEBAS BEKAS BANJIR DAN LAKA,2020,45042,Automatic,Jawa Barat,Bensin,290000000
Suzuki,Baleno 1.4 Hatchback,2021,37535,Automatic,DKI Jakarta,Bensin,191000000
Hyundai,Stargazer 1.5 Trend MPV,2022,47545,Automatic,DKI Jakarta,Bensin,180000000
Toyota,Raize 1.0 T G (1 Tone) SUV,2024,20017,Automatic,DKI Jakarta,Bensin,209000000
Toyota,Yaris Cross 1.5 S HV SUV,2023,25022,Automatic,DKI Jakarta,Hybrid,341000000
BYD,Dolphin Premium Extended Range Hatchback - 0.0 Dual Tone AT Grey Black NIK LOW KM 10RB,2024,7505,Automatic,DKI Jakarta,Bensin,295000000
Mitsubishi,Pajero Sport 2.4 Dakar 4X2 SUV - 4x2 Diesel Sunroof AT Silver Metalik NIK LOW KM,2019,22520,Automatic,DKI Jakarta,Diesel,365000000
Chery,Omoda 5 1.5 RZ SUV - Luxury 230T Sunroof AT LOW KM 8RB,2023,5002,Automatic,Banten,Bensin,249000000
Lexus,RX 300 2.0 F Sport SUV - 4x2 ATPM Facelift AT Black LOW KM,2021,20017,Automatic,Banten,Bensin,790000000
Toyota,Kijang Innova Zenix 2.0 G (Non Premium Color) MPV - BODYKIT MODELISTA,2024,17515,Automatic,DKI Jakarta,Bensin,335000000
Mazda,CX-3 1.5 Sport SUV - Sunroof Facelift AT Abu NIK GARANSI 5TH,2024,17515,Automatic,Banten,Bensin,289000000
Toyota,Agya 1.2 GR Sport Hatchback,2022,15012,Manual,Banten,Bensin,134000000
Suzuki,Baleno 1.4 Hatchback,2021,37535,Automatic,Jawa Barat,Bensin,190000000
Toyota,Veloz 1.5 Q TSS (Premium Color) MPV,2023,22520,Automatic,Jawa Barat,Bensin,236000000
Toyota,Veloz 1.5 Q TSS (Premium Color) MPV,2022,17515,Automatic,Jawa Barat,Bensin,238000000
Toyota,Veloz 1.5 Q (Premium Color) MPV,2022,17515,Automatic,Banten,Bensin,238000000
Nissan,Livina 1.5 VL MPV,2019,47545,Automatic,Jawa Barat,Bensin,175000009
Nissan,Livina 1.5 VL MPV,2019,47545,Automatic,DKI Jakarta,Bensin,175000000
Honda,Brio 1.2 Satya E Hatchback,2019,17515,Manual,Banten,Bensin,134000000
Daihatsu,Ayla 1.0 X Hatchback,2021,10007,Manual,Banten,Bensin,107000000
Nissan,Livina 1.5 VL MPV,2022,30027,Automatic,Jawa Barat,Bensin,204000000
Hyundai,Creta 1.5 Prime SUV,2022,30027,Automatic,Banten,Bensin,258000000
Honda,BR-V 1.5 Prestige Honda Sensing SUV - Prestige Sensing,2022,35032,Automatic,DKI Jakarta,Bensin,235000000
Toyota,Yaris 1.5 TRD Sportivo Hatchback,2019,37535,Automatic,Banten,Bensin,193000000
Toyota,Raize 1.0 GR Sport TSS (2 Tone) SUV,2021,30027,Automatic,Jawa Barat,Bensin,202000000
Toyota,Raize 1.0 GR Sport (2 Tone) SUV,2021,30027,Automatic,DKI Jakarta,Bensin,202000000
Toyota,Yaris 1.5 TRD Sportivo 7 AB Hatchback,2021,17515,Automatic,Banten,Bensin,211000000
Hyundai,Creta 1.5 Prime SUV,2023,27525,Automatic,Jawa Barat,Bensin,273000000
Toyota,Kijang Innova 2.5 V MPV,2015,42540,Automatic,Banten,Bensin,279000000
Toyota,Yaris 1.5 GR Sport 7 AB Hatchback,2021,30027,Automatic,Banten,Bensin,219000000
Toyota,Yaris 1.5 TRD Sportivo Hatchback,2017,42540,Automatic,Banten,Bensin,165000000
Toyota,Yaris 1.5 TRD Sportivo 7 AB Hatchback,2021,25022,Automatic,Banten,Bensin,211000000
Toyota,Yaris Cross 1.5 S HV SUV,2023,22520,Automatic,Banten,Hybrid,341000000
Honda,Brio 1.2 Satya E Hatchback,2023,7505,Automatic,Jawa Barat,Bensin,160000000
Toyota,Rush 1.5 GR Sport SUV,2023,20017,Automatic,Banten,Bensin,248000000
Suzuki,XL7 1.5 Alpha SUV,2021,35032,Automatic,DKI Jakarta,Bensin,206000000
Honda,HR-V 1.5 Special Edition SUV,2023,27525,Automatic,Jawa Barat,Bensin,322000000
Hyundai,Stargazer 1.5 Prime MPV,2022,52004,Automatic,Jawa Barat,Bensin,201000000
Suzuki,XL7 1.5 Alpha SUV,2021,66423,Automatic,Jawa Barat,Bensin,206000000
